index	word	Adaptation	Mitigation	Non-climate
476	appropriate	0.09715999	0.65243137	0.25040868
477	policy	0.13247804	0.6663021	0.20121987
478	taken	0.099285685	0.6075546	0.2931597
479	believes	0.14349954	0.55148375	0.30501682
480	enabled	0.13402127	0.5548425	0.31113634
481	things	0.115611784	0.5712313	0.3131569
482	reform	0.15747522	0.58773446	0.2547903
483	tax	0.12573305	0.56348073	0.3107861
484	greener	0.13445376	0.6571594	0.20838685
485	including	0.12130789	0.62028795	0.25840417
486	increasing	0.10172161	0.6627829	0.23549552
487	revenue	0.15243085	0.6269987	0.2205705
488	accounted	0.15926981	0.6093727	0.23135754
489	taxes	0.15504405	0.61098623	0.2339697
490	associated	0.13557793	0.66506445	0.19935767
491	credible	0.13501267	0.55749565	0.3074917
492	incentivise	0.11767498	0.68270344	0.19962162
493	private	0.11718248	0.6177566	0.2650609
494	competitive	0.13895531	0.5525413	0.30850333
495	2009	0.13787845	0.61894137	0.24318014
496	share	0.15120988	0.6131586	0.23563154
497	goods	0.11370532	0.6893949	0.1968998
498	services	0.097022	0.63059014	0.27238786
499	worth	0.099025734	0.61774	0.2832343
500	people	0.11083618	0.58546525	0.30369863
501	employed	0.13855845	0.5604404	0.3010011
502	chain	0.15548845	0.61447513	0.23003641
503	2015	0.13338767	0.602702	0.26391032
504	expected	0.1343038	0.6474792	0.21821705
505	million	0.09470872	0.64362437	0.2616669
506	stimulate	0.1417008	0.63007474	0.22822443
507	innovation	0.14303748	0.5716276	0.28533486
508	develop	0.12799777	0.61433816	0.2576641
509	necessary	0.14746597	0.5978538	0.25468025
510	skills	0.11161213	0.5688034	0.31958452
511	short	0.097470894	0.64061856	0.26191056
512	move	0.13464057	0.54774743	0.317612
513	air	0.12863629	0.67234844	0.19901526
514	ground	0.1549992	0.61539954	0.22960138
515	source	0.15271826	0.6069128	0.240369
516	consider	0.10405679	0.68561214	0.210331
517	decentralised	0.09550194	0.6248051	0.27969304
518	options	0.13110577	0.6622196	0.20667462
519	district	0.15856926	0.6029424	0.23848835
520	powering	0.14735703	0.5998076	0.25283542
521	cars	0.15230441	0.61199963	0.23569593
522	contributor	0.13507977	0.5599878	0.30493248
523	demand	0.13902885	0.6431478	0.21782334
524	polluting	0.13039762	0.6617189	0.20788345
525	coming	0.123028554	0.6724613	0.20451017
526	oil	0.15626682	0.6007766	0.24295653
527	based	0.13392684	0.55895865	0.30711445
528	rely	0.10664778	0.64324003	0.25011212
529	road	0.11011276	0.5652918	0.3245955
530	changing	0.10270084	0.69827735	0.19902176
531	advantage	0.107053734	0.57368034	0.31926593
532	innovative	0.10693545	0.5755272	0.31753737
533	video	0.12382827	0.5709015	0.30527025
534	conferencing	0.15125681	0.62989306	0.2188501
535	meetings	0.13557476	0.584582	0.27984333
536	big	0.1183436	0.57483006	0.30682632
537	improvements	0.12923515	0.5857389	0.28502592
538	conventional	0.15477535	0.6121159	0.23310867
539	engine	0.150926	0.61114115	0.23793289
540	vehicle	0.14939938	0.57839084	0.2722098
541	allow	0.11782224	0.6487974	0.23338047
542	decades	0.13321376	0.6688667	0.19791944
543	ultra	0.15260714	0.6097481	0.23764478
544	urgent	0.12689474	0.65783817	0.21526714
545	largest	0.15575132	0.6080997	0.23614894
546	single	0.10929574	0.5868256	0.30387864
547	world	0.1117861	0.58533657	0.3028773
548	rest	0.114146955	0.57082564	0.3150275
549	firmly	0.14661531	0.5834043	0.26998043
550	interests	0.15453763	0.6132784	0.2321839
551	rapid	0.15166265	0.61984783	0.2284895
552	robust	0.132929	0.6638331	0.20323789
553	roadmap	0.16099936	0.6056963	0.2333043
554	steps	0.14311834	0.578749	0.27813265
555	encouraging	0.12685889	0.5523148	0.32082632
556	adopt	0.111543484	0.5962894	0.29216716
557	reduction	0.15471877	0.6033026	0.24197868
558	target	0.15061748	0.6165255	0.23285708
559	externally	0.11142703	0.6873712	0.20120183
560	takes	0.10209911	0.66458094	0.23331995
561	relations	0.0941376	0.62282276	0.28303963
562	obligations	0.09579716	0.6196765	0.28452635
563	finance	0.15333055	0.6163405	0.23032895
564	globally	0.14257911	0.5698079	0.28761297
565	work	0.11187485	0.58127874	0.30684635
566	developed	0.1212324	0.6538189	0.22494876
567	lead	0.09512416	0.64114654	0.2637293
568	others	0.10207588	0.667134	0.23079018
569	maintain	0.1135416	0.6824733	0.20398521
570	strong	0.1448474	0.57648426	0.2786683
571	relationship	0.10970907	0.5783548	0.31193617
572	japan	0.14210576	0.5805409	0.27735335
573	issues	0.14687748	0.6225081	0.23061435
574	face	0.13660328	0.5989222	0.2644745
575	shared	0.12321681	0.57561654	0.30116674
576	decarbonise	0.15901066	0.6066334	0.23435594
577	require	0.14184883	0.6347341	0.223417
578	stages	0.15148298	0.58485913	0.26365784
579	process	0.13725217	0.63834065	0.2244072
580	research	0.12033738	0.6189895	0.2606731
581	demonstration	0.15628055	0.60603637	0.2376831
582	deployment	0.16085567	0.60564196	0.23350236
583	directly	0.12183908	0.6705935	0.20756736
584	supports	0.15681961	0.5900814	0.25309896
585	works	0.14181349	0.55605316	0.3021333
586	councils	0.11314562	0.6852722	0.20158209
587	strategy	0.11407177	0.5640662	0.3218621
588	board	0.10933961	0.67826015	0.21240026
589	institute	0.14981729	0.59357136	0.25661135
590	trust	0.10264249	0.6393817	0.25797576
591	strengths	0.1038065	0.5881544	0.30803916
592	science	0.10620138	0.63467205	0.2591266
593	internationally	0.16156338	0.60764754	0.23078899
594	direct	0.15023327	0.60242605	0.24734063
595	national	0.097627334	0.65037304	0.2519996
596	interest	0.1442682	0.59816146	0.25757033
597	tackles	0.15802996	0.5967442	0.2452258
598	given	0.13777173	0.57303053	0.28919768
599	potentially	0.12272103	0.67735726	0.19992176
600	devastating	0.14368637	0.592867	0.26344654
601	unchecked	0.1494135	0.60171694	0.2488695
